NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op),Throughput(op/sec)
4,1g,133mb,10m,113k,26,9m,21.052,1203.602
4,1g,133mb,10m,113k,76,200k,54.617,1178.504
4,1g,133mb,10m,113k,76,9m,51.823,1203.433
4,1g,133mb,1g,39k,26,200k,10.614,2449.166
4,1g,133mb,1g,39k,26,9m,10.970,2332.090
4,1g,133mb,1g,39k,76,200k,39.458,1889.890
4,1g,133mb,1g,39k,76,9m,29.493,2533.315
4,1g,133mb,1g,113k,26,200k,27.507,909.855
4,1g,133mb,1g,113k,26,9m,27.346,910.193
4,1g,133mb,1g,113k,76,200k,75.857,904.509
4,1g,133mb,1g,113k,76,9m,70.764,898.756
4,1g,378mb,10m,39k,26,200k,4.954,5246.287
4,1g,378mb,10m,39k,26,9m,4.559,5697.589
4,1g,378mb,10m,39k,76,200k,13.349,5691.126
4,1g,378mb,10m,39k,76,9m,13.734,5523.419
4,1g,378mb,10m,113k,26,200k,12.137,2070.109
4,1g,378mb,10m,113k,26,9m,12.359,2033.571
4,1g,378mb,10m,113k,76,200k,32.909,2093.205
4,1g,378mb,10m,113k,76,9m,32.634,2079.508
4,1g,378mb,1g,39k,26,200k,7.359,3465.565
4,1g,378mb,1g,39k,26,9m,7.312,3539.906
4,1g,378mb,1g,39k,76,200k,22.018,3435.670
4,1g,378mb,1g,39k,76,9m,22.434,3379.188
4,1g,378mb,1g,113k,26,200k,155.663,153.240
4,1g,378mb,1g,113k,26,9m,35.544,690.653
4,1g,378mb,1g,113k,76,200k,91.098,715.868
4,1g,378mb,1g,113k,76,9m,88.125,710.585
4,8g,133mb,10m,39k,26,200k,7.623,3405.820
4,8g,133mb,10m,39k,26,9m,7.450,3483.870
4,8g,133mb,10m,39k,76,200k,21.743,3484.678
4,8g,133mb,10m,39k,76,9m,21.744,3484.587
4,8g,133mb,10m,113k,26,200k,20.259,1204.118
4,8g,133mb,10m,113k,26,9m,20.820,1149.975
4,8g,133mb,10m,113k,76,200k,57.276,1204.434
4,8g,133mb,10m,113k,76,9m,53.771,1204.417
4,8g,133mb,1g,39k,26,200k,10.588,2454.605
4,8g,133mb,1g,39k,26,9m,11.309,2297.255
4,8g,133mb,1g,39k,76,200k,28.563,2639.074
4,8g,133mb,1g,39k,76,9m,28.821,2627.151
4,8g,133mb,1g,113k,26,200k,26.671,879.689
4,8g,133mb,1g,113k,26,9m,25.873,935.187
4,8g,133mb,1g,113k,76,200k,70.379,919.090
4,8g,133mb,1g,113k,76,9m,76.481,905.889
4,8g,378mb,10m,39k,26,200k,4.828,5382.485
4,8g,378mb,10m,39k,26,9m,4.701,5524.549
4,8g,378mb,10m,39k,76,200k,13.241,5737.519
4,8g,378mb,10m,39k,76,9m,13.011,5828.542
4,8g,378mb,10m,113k,26,200k,12.179,2072.990
4,8g,378mb,10m,113k,26,9m,11.810,2122.246
4,8g,378mb,10m,113k,76,200k,33.851,2099.473
4,8g,378mb,10m,113k,76,9m,32.401,2133.432
4,8g,378mb,1g,39k,26,200k,8.102,3207.431
4,8g,378mb,1g,39k,26,9m,7.683,3380.309
4,8g,378mb,1g,39k,76,200k,23.229,3267.345
4,8g,378mb,1g,39k,76,9m,21.304,3478.030
4,8g,378mb,1g,113k,26,200k,18.961,1290.980
4,8g,378mb,1g,113k,26,9m,19.073,1309.427
4,8g,378mb,1g,113k,76,200k,48.581,1340.110
4,8g,378mb,1g,113k,76,9m,51.171,1316.894
1,1g,194mb,10m,20k,14,200k,1.565,8935.614
1,1g,194mb,10m,20k,14,9m,1.481,9442.304
1,1g,194mb,10m,20k,39,200k,4.093,9523.570
1,1g,194mb,10m,20k,39,9m,4.152,9378.321
1,1g,194mb,10m,20k,64,200k,6.857,9328.445
1,1g,194mb,10m,20k,64,9m,6.802,9388.726
1,1g,194mb,10m,20k,88,200k,9.162,9599.422
1,1g,194mb,10m,20k,88,9m,9.146,9587.840
1,1g,194mb,10m,58k,14,200k,4.069,3366.761
1,1g,194mb,10m,58k,14,9m,4.049,3417.276
1,1g,194mb,10m,58k,39,200k,11.025,3416.863
1,1g,194mb,10m,58k,39,9m,10.904,3416.320
1,1g,194mb,10m,58k,64,200k,17.144,3417.715
1,1g,194mb,10m,58k,64,9m,17.704,3410.685
1,1g,194mb,10m,58k,88,200k,23.432,3418.232
1,1g,194mb,10m,58k,88,9m,22.768,3337.925
1,1g,194mb,10m,95k,14,200k,6.570,2086.548
1,1g,194mb,10m,95k,14,9m,6.548,2087.065
1,1g,194mb,10m,95k,39,200k,18.324,2038.022
1,1g,194mb,10m,95k,39,9m,17.215,2090.398
1,1g,194mb,10m,95k,64,200k,28.125,2087.319
1,1g,194mb,10m,95k,64,9m,28.668,2083.373
1,1g,194mb,10m,95k,88,200k,36.624,2087.719
1,1g,194mb,10m,95k,88,9m,38.308,2084.816
1,1g,194mb,10m,132k,14,200k,9.050,1499.546
1,1g,194mb,10m,132k,14,9m,8.976,1501.698
1,1g,194mb,10m,132k,39,200k,23.295,1502.566
1,1g,194mb,10m,132k,39,9m,24.610,1470.535
1,1g,194mb,10m,132k,64,200k,37.163,1503.047
1,1g,194mb,10m,132k,64,9m,37.885,1498.303
1,1g,194mb,10m,132k,88,200k,49.525,1503.080
1,1g,194mb,10m,132k,88,9m,47.250,1479.337
