,NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op)
422,1,1,439,10485760,95,88,204800,30.976
423,1,1,439,10485760,95,88,9437184,31.146
424,1,1,439,10485760,132,14,204800,7.67
425,1,1,439,10485760,132,14,9437184,7.403
426,1,1,439,10485760,132,39,204800,20.671999999999997
427,1,1,439,10485760,132,39,9437184,19.664
428,1,1,439,10485760,132,64,204800,31.105
429,1,1,439,10485760,132,64,9437184,31.86
430,1,1,439,10485760,132,88,204800,40.258
431,1,1,439,10485760,132,88,9437184,39.696
432,1,1,439,1073741824,20,14,204800,2.181
433,1,1,439,1073741824,20,14,9437184,4.795
434,1,1,439,1073741824,20,39,204800,10.17
435,1,1,439,1073741824,20,39,9437184,9.058
436,1,1,439,1073741824,20,64,204800,14.847000000000001
437,1,1,439,1073741824,20,64,9437184,14.571
438,1,1,439,1073741824,20,88,204800,19.894000000000002
439,1,1,439,1073741824,20,88,9437184,12.057
440,1,1,439,1073741824,58,14,204800,5.396
441,1,1,439,1073741824,58,14,9437184,5.417000000000001
442,1,1,439,1073741824,58,39,204800,14.585
443,1,1,439,1073741824,58,39,9437184,14.682
444,1,1,439,1073741824,58,64,204800,23.57
445,1,1,439,1073741824,58,64,9437184,24.287
446,1,1,439,1073741824,58,88,204800,31.445999999999998
447,1,1,439,1073741824,58,88,9437184,32.58
448,1,1,439,1073741824,95,14,204800,8.461
449,1,1,439,1073741824,95,14,9437184,8.868
450,1,1,439,1073741824,95,39,204800,22.145
451,1,1,439,1073741824,95,39,9437184,22.569000000000003
452,1,1,439,1073741824,95,64,204800,37.603
453,1,1,439,1073741824,95,64,9437184,38.439
454,1,1,439,1073741824,95,88,204800,48.873999999999995
455,1,1,439,1073741824,95,88,9437184,47.244
456,1,1,439,1073741824,132,14,204800,11.82
457,1,1,439,1073741824,132,14,9437184,11.879000000000001
458,1,1,439,1073741824,132,39,204800,30.166999999999998
459,1,1,439,1073741824,132,39,9437184,29.146
460,1,1,439,1073741824,132,64,204800,48.004
461,1,1,439,1073741824,132,64,9437184,47.841
462,1,1,439,1073741824,132,88,204800,62.901
463,1,1,439,1073741824,132,88,9437184,66.916
464,1,1,72,10485760,20,14,204800,3.9930000000000003
465,1,1,72,10485760,20,14,9437184,3.888
466,1,1,72,10485760,20,39,204800,10.839
467,1,1,72,10485760,20,39,9437184,10.777999999999999
468,1,1,72,10485760,20,64,204800,17.723
469,1,1,72,10485760,20,64,9437184,17.327
470,1,1,72,10485760,20,88,204800,24.373
471,1,1,72,10485760,20,88,9437184,24.675
472,1,1,72,10485760,58,14,204800,10.42
473,1,1,72,10485760,58,14,9437184,10.82
474,1,1,72,10485760,58,39,204800,28.541999999999998
475,1,1,72,10485760,58,39,9437184,26.855
476,1,1,72,10485760,58,64,204800,41.507
477,1,1,72,10485760,58,64,9437184,45.0
478,1,1,72,10485760,58,88,204800,64.352
479,1,1,72,10485760,58,88,9437184,60.925
480,1,1,72,10485760,95,14,204800,18.0
481,1,1,72,10485760,95,14,9437184,17.291
482,1,1,72,10485760,95,39,204800,44.818000000000005
483,1,1,72,10485760,95,39,9437184,42.381
484,1,1,72,10485760,95,64,204800,70.093
485,1,1,72,10485760,95,64,9437184,61.196999999999996
486,1,1,72,10485760,95,88,204800,100.992
487,1,1,72,10485760,95,88,9437184,96.01
488,1,1,72,10485760,132,14,204800,24.936
489,1,1,72,10485760,132,14,9437184,24.669
490,1,1,72,10485760,132,39,204800,65.495
491,1,1,72,10485760,132,39,9437184,64.542
492,1,1,72,10485760,132,64,204800,98.939
493,1,1,72,10485760,132,64,9437184,94.521
494,1,1,72,10485760,132,88,204800,175.858
495,1,1,72,10485760,132,88,9437184,150.447
496,1,1,72,1073741824,20,14,204800,4.316
497,1,1,72,1073741824,20,14,9437184,4.181
498,1,1,72,1073741824,20,39,204800,12.307
